City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,presidencia roque saenz pena,-26.7852,-60.4388,18.9,50,98,3.5,AR,1667884396
191,khingansk,49.1167,131.1833,-0.36,58,38,2.46,RU,1667884397
192,nsoko,-27.0333,31.95,23.2,83,100,2.49,SZ,1667884397
193,hobyo,5.3505,48.5268,27.41,70,31,2.88,SO,1667884397
194,kattivakkam,13.2167,80.3167,29.05,71,35,6.17,IN,1667884398
195,newport,51.5877,-2.9984,12.01,90,85,9.04,GB,1667884397
196,saint-philippe,-21.3585,55.7679,25.77,77,22,4.72,RE,1667884400
197,arraial do cabo,-22.9661,-42.0278,19.35,83,100,2.01,BR,1667884400
198,margate,51.3813,1.3862,15.73,76,99,3.13,GB,1667884401
199,pouebo,-20.4,164.5667,25.54,80,96,3.37,NC,1667884402
200,taoudenni,22.6783,-3.9836,20.89,21,21,3.81,ML,1667884402
201,quezon,7.7303,125.0989,29.99,73,74,1.26,PH,1667884402
202,novouzensk,50.4592,48.1431,1.31,78,95,2.9,RU,1667884403
203,mount isa,-20.7333,139.5,37.87,14,1,2.57,AU,1667884403
204,banting,2.8167,101.5,34.22,60,96,1.75,MY,1667884404
205,rudnya,54.947,31.0934,6.58,93,100,4.6,RU,1667884404
206,poum,-20.2333,164.0167,25.39,81,99,9.19,NC,1667884404
207,kodiak,57.79,-152.4072,3.73,87,100,5.66,US,1667884405
208,mehamn,71.0357,27.8492,0.97,86,75,3.09,NO,1667884405
209,faanui,-16.4833,-151.75,25.91,75,16,3.41,PF,1667884406
210,emporia,38.4039,-96.1817,13.11,38,100,5.14,US,1667884407
211,san sebastian,43.3128,-1.975,20.36,47,0,4.12,ES,1667884407
212,hualmay,-11.0964,-77.6139,17.37,86,11,3.48,PE,1667884407
213,nizwa,22.9333,57.5333,26.54,40,5,1.45,OM,1667884408
214,muscat,23.6139,58.5922,33.01,48,9,1.26,OM,1667884141
215,egvekinot,66.3167,-179.1667,-6.51,84,100,7.01,RU,1667884409
216,at-bashi,41.1702,75.8106,3.05,69,93,0.84,KG,1667884409
217,sidi ali,36.0998,0.4206,17.17,70,4,1.41,DZ,1667884410
218,sayyan,15.1718,44.3244,14.25,34,7,0.64,YE,1667884410
219,fruitvale,39.0817,-108.4968,15.32,30,0,5.66,US,1667884411
220,pringsewu,-5.3582,104.9744,28.94,70,100,0.74,ID,1667884411
221,broome,42.2506,-75.833,7.0,71,0,3.6,US,1667884412
222,ambulu,-8.345,113.6058,29.43,71,58,2.67,ID,1667884413
223,kuchera,26.9839,73.9719,29.12,23,33,3.94,IN,1667884413
224,tuktoyaktuk,69.4541,-133.0374,-15.33,81,100,4.47,CA,1667884414
225,zabaykalsk,49.6333,117.3167,2.41,57,87,2.7,RU,1667884415
226,sinnamary,5.3833,-52.95,24.59,90,100,2.67,GF,1667884415
227,waingapu,-9.6567,120.2641,30.62,63,71,4.46,ID,1667884415
228,meulaboh,4.1363,96.1285,29.06,67,88,1.92,ID,1667884416
229,kashary,49.04,41.0056,0.12,87,14,2.53,RU,1667884417
230,thinadhoo,0.5333,72.9333,27.86,76,36,7.28,MV,1667884418
231,hasaki,35.7333,140.8333,20.22,51,0,4.34,JP,1667884418
232,san quintin,30.4833,-115.95,17.28,88,3,3.44,MX,1667884419
233,hambantota,6.1241,81.1185,28.4,68,100,1.35,LK,1667884301
234,gizo,-8.103,156.8419,28.63,75,89,4.87,SB,1667884419
235,nautla,20.2167,-96.7833,23.55,87,7,1.58,MX,1667884420
236,new norfolk,-42.7826,147.0587,27.71,20,58,1.79,AU,1667884421
237,lapy,52.9911,22.8842,8.28,91,30,4.07,PL,1667884421
238,yumen,40.2833,97.2,10.24,21,87,6.41,CN,1667884421
239,bulaevo,54.9056,70.4439,-4.22,90,98,1.43,KZ,1667884422
240,camacha,33.0833,-16.3333,17.68,94,40,2.57,PT,1667884423
241,richards bay,-28.783,32.0377,21.69,94,98,2.52,ZA,1667884423
242,taywarah,33.35,64.4167,3.99,58,72,2.22,AF,1667884424
243,jhawarian,32.3614,72.6228,23.45,41,19,2.37,PK,1667884424
244,husavik,66.0449,-17.3389,4.54,90,100,6.1,IS,1667884425
245,saskylakh,71.9167,114.0833,-30.73,98,53,2.13,RU,1667884425
246,boa vista,2.8197,-60.6733,24.99,88,40,0.51,BR,1667884038
247,jalu,29.0331,21.5482,15.83,84,0,2.83,LY,1667884426
248,makakilo city,21.3469,-158.0858,25.18,70,0,2.57,US,1667884426
249,ulaangom,49.9811,92.0667,0.36,64,86,1.27,MN,1667884427
250,akcakoca,41.0866,31.1162,13.12,80,98,1.41,TR,1667884427
251,sotik,-0.6833,35.1187,16.85,77,98,1.24,KE,1667884428
252,iqaluit,63.7506,-68.5145,-9.61,66,100,3.12,CA,1667884428
253,petropavlovka,50.6114,105.3196,3.45,54,80,1.54,RU,1667884429
254,nalut,30.3333,10.85,12.31,52,0,3.27,LY,1667884429
255,wundanyi,-3.4019,38.364,17.93,72,62,1.43,KE,1667884430
256,seoul,37.5683,126.9778,17.66,43,0,2.56,KR,1667884430
257,takoradi,4.8845,-1.7554,25.38,85,90,0.91,GH,1667884431
258,norman wells,65.282,-126.8329,-16.2,76,20,4.33,CA,1667884207
259,vao,-22.6667,167.4833,23.54,84,97,5.95,NC,1667884431
260,mozarlandia,-14.7447,-50.5706,23.83,64,13,2.24,BR,1667884432
261,port-cartier,50.0334,-66.8654,3.75,61,58,8.34,CA,1667884432
262,port alberni,49.2413,-124.8028,-4.84,83,78,2.14,CA,1667884433
263,dubbo,-32.25,148.6167,22.07,60,100,4.12,AU,1667884239
264,ponnani,10.767,75.9252,28.62,64,4,1.51,IN,1667884433
265,geraldton,-28.7667,114.6,24.23,57,75,6.17,AU,1667884434
266,pangnirtung,66.1451,-65.7125,-14.77,62,56,2.7,CA,1667884434
267,konyar,47.3167,21.6667,6.36,100,100,1.54,HU,1667884435
268,jacareacanga,-6.2222,-57.7528,21.98,98,100,0.72,BR,1667884435
269,tela,15.7833,-87.45,22.84,84,6,2.19,HN,1667884436
270,henties bay,-22.116,14.2845,15.67,93,3,2.64,NA,1667884436
271,navalmoral de la mata,39.8916,-5.5406,15.53,90,95,1.87,ES,1667884436
272,harper,4.375,-7.7169,25.15,86,100,2.9,LR,1667884437
273,gazli,40.1333,63.45,5.11,53,7,4.71,UZ,1667884437
274,los andes,-32.8337,-70.5983,16.67,52,98,0.18,CL,1667884438
275,sao filipe,14.8961,-24.4956,25.18,68,100,1.86,CV,1667884439
276,los llanos de aridane,28.6585,-17.9182,17.86,43,0,4.02,ES,1667884439
277,nema,57.5067,50.5011,-0.98,95,98,3.26,RU,1667884439
278,saint george,37.1041,-113.5841,17.46,40,100,4.63,US,1667884440
279,corowa,-36.0333,146.3833,26.34,50,1,1.07,AU,1667884440
280,qaanaaq,77.484,-69.3632,-18.3,98,100,1.89,GL,1667884441
281,namatanai,-3.6667,152.4333,28.17,76,100,3.14,PG,1667884441
282,nhulunbuy,-12.2333,136.7667,33.34,52,20,5.66,AU,1667884442
283,healesville,-37.65,145.5167,26.18,54,43,0.05,AU,1667884442
284,mantua,45.1667,10.7833,8.36,88,60,0.89,IT,1667884443
285,stara moravica,45.8689,19.4661,8.04,90,14,1.32,RS,1667884443
286,kogon,39.7228,64.5517,4.02,65,100,4.12,UZ,1667884444
287,quatre cocos,-20.2078,57.7625,26.06,69,69,5.33,MU,1667884444
288,samoylovka,51.184,43.7081,-0.06,83,75,2.56,RU,1667884445
289,lufilufi,-13.8745,-171.5986,25.88,76,56,7.63,WS,1667884446
290,lopandino,52.4666,34.8163,2.92,72,99,4.9,RU,1667884446
291,butaritari,3.0707,172.7902,27.15,73,15,2.65,KI,1667884447
292,leningradskiy,69.3833,178.4167,-7.42,93,100,4.92,RU,1667884447
293,helong,42.5397,128.9972,9.06,38,20,2.35,CN,1667884448
294,najran,17.4924,44.1277,21.99,25,0,1.74,SA,1667884366
295,belokurikha,51.9959,84.9896,1.64,92,100,1.22,RU,1667884448
296,maputo,-25.9653,32.5892,23.77,82,100,3.92,MZ,1667884448
297,haines junction,60.7522,-137.5108,-16.0,96,96,0.27,CA,1667884449
298,troitskoye,52.9821,84.6757,0.58,64,87,1.78,RU,1667884449
299,port said,31.2565,32.2841,21.94,65,41,7.18,EG,1667884450
300,barreiras,-12.1528,-44.99,22.36,79,100,0.73,BR,1667884450
301,mersing,2.4312,103.8405,28.87,71,100,3.5,MY,1667884450
302,port saint lucie,27.2939,-80.3503,26.08,59,9,7.2,US,1667884297
303,taphan hin,16.2209,100.4198,29.51,64,3,0.5,TH,1667884451
304,erdenet,49.0333,104.0833,5.65,36,54,1.47,MN,1667884451
